Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-1 Yrs,"1,75,000 - 3,00,000 PA.",Jalgaon,b' Roles and ResponsibilitiesAbility to work independently and lead the project from scrat...',"['Architecture', '3DSmax', 'Interior Designing', 'Sketchup', 'Design', 'AutoCAD', 'Illustrator', 'Photoshop']",2021-03-17,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,3D Interior Designer,Super India Tech Mark,0-2 Yrs,"1,25,000 - 2,25,000 PA.",Nasik/Nashik,b' I prefer male candidatesWomen with kids who want to work part time from 9:30 am to 2:30...',"['Architecture', 'AutoCAD', 'REVIT', 'Photoshop', 'VRAY', 'Logo Design', '3Ds Max', '3DSmax']",2021-03-16,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,50,000 - 2,50,000 PA.",Hugli,b' A full time employee and team member handling event and interior design projects across...',"['Sketchup', 'Design', 'Construction', 'Architecture', 'AutoCAD', 'Residential', 'Detailing', 'Interior Designing']",2021-03-15,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Senior Interior Designer,DYHS,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,b' A Senior Interior Designer should have proven experience of having successfully lead a ...',"['Procurement', 'AutoCAD', 'Project management', 'Consulting', 'Maya', 'Budgeting', 'Management', 'VRAY']",2021-03-17,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Manager - Sales - Interior Designing Projects,Dev Accelarator Pvt Ltd,7-11 Yrs,Not disclosed,Ahmedabad,b' Experience and working knowledge of CRM systems Should have good connects with corporat...',"['Sales', 'B2B Sales', 'Real Estate Sales', 'Corporate Sales', 'Interior Design Sales']",2021-03-17,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Hiring Relationship Officers For Axis Bank – Loan Products- Trichy,Axis Bank Limited,0-5 Yrs,"1,00,000 - 3,00,000 PA.","Pudukkottai, Tiruchirapalli/Trichy",b' Note: Currently we required Males Candidates OnlyRequired: Freshers & ExperienceRelievi...',"['Personal Loan', 'Banking Products', 'Mortgage Loans', 'Housing Finance', 'Retail Sales', 'New Client Acquisition', 'Senior Sales Executive', 'Car Loan']",2021-03-27,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Hiring Relationship Officer-Axis Bank Loan Products-Coimbatore,Axis Bank Limited,0-5 Yrs,"1,00,000 - 3,00,000 PA.",Coimbatore,b' Relieving Letter & Payslip ( For Experiences candidates only) An effective communicator...',"['Personal Loan', 'Banking Products', 'Mortgage Loans', 'Housing Finance', 'Retail Sales', 'New Client Acquisition', 'Senior Sales Executive', 'Car Loan']",2021-03-27,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Bank Officer/Relationship Officer-Bikaner/Jodhpur (Freshers required),AU SMALL FINANCE BANK Limited,0-4 Yrs,Not disclosed,"Bikaner, Jodhpur",b' Roles and Responsibilities Liability SalesCASA & 3rd party productsInsurance /FD/RDDesi...',"['RD', 'Sales', 'Banking', 'FD']",2021-03-16,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Indusind Bank - Senior Relationship Manager - NR - For Mumbai location,INDUSIND BANK LIMITED,4-8 Yrs,"10,00,000 - 16,00,000 PA.","Mumbai, Navi Mumbai",b' Roles and Responsibilities Role DetailsThis is an individual role responsible for manag...',"['Wealth Management', 'NRI', 'NR', 'Relationship Management', 'Insurance', 'Finance', 'Client Servicing', 'Service Sales']",2021-03-22,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Walkin | Axis Bank Ltd On Partner Payroll | Raipur & CG | Loan Sales,Axis Bank Limited,NA,"1,50,000 - 2,50,000 PA.","Ambikapur, Korba, Jagdalpur, Raigarh, Rajnandgaon, Bhilai/Bhillai, Bilaspur, Raipur",b' Experience : 0 to 5 Years / Freshers can also apply',"['Housing Finance', 'business loan', 'Retail Sales', 'commercial vehicle loans', 'Financial Services', 'auto loans', 'personal loans', 'Car Loan']",2021-03-20,2021-03-29
Bank Jobs,https://www.naukri.com/bank-jobs?xt=catsrch&qf[]=6,Job Opening– Axis Bank –Loan Products -Agri products,Axis Bank Limited,0-5 Yrs,Not disclosed,"East Godavari, Kadapa/Cuddapah, Visakhapatnam, West Godavari, Guntur, Kurnool, Chittoor, Nellore, Andhrapradesh Other","b' Dear Candidate, Axis is looking for sales professionals under vendor payroll, If you wi...'","['Rural Finance', 'Loans', 'Financial Services', 'Home Loans', 'Car Loan', 'Finance', 'Banking', 'Personal Loans']",2021-03-23,2021-03-29
